Date,High,Low,Open,Close,Volume,Adj Close
2015-10-01,55.310001373291016,54.619998931884766,55.02000045776367,55.27000045776367,925200.0,50.97378921508789
2015-10-02,55.66999816894531,54.68000030517578,55.33000183105469,55.630001068115234,1192000.0,51.30581283569336
2015-10-05,56.220001220703125,55.54999923706055,55.689998626708984,56.06999969482422,1180100.0,51.71160125732422
2015-10-06,56.13999938964844,55.560001373291016,56.08000183105469,55.619998931884766,625000.0,51.29658508300781
2015-10-07,55.86000061035156,55.189998626708984,55.7400016784668,55.349998474121094,778500.0,51.047576904296875
2015-10-08,56.84000015258789,55.13999938964844,55.369998931884766,56.84000015258789,1143500.0,52.42176055908203
2015-10-09,57.119998931884766,56.5099983215332,56.81999969482422,56.869998931884766,964100.0,52.44941711425781
2015-10-12,57.77000045776367,56.83000183105469,56.939998626708984,57.45000076293945,639900.0,52.98434066772461
2015-10-13,57.77000045776367,57.18000030517578,57.33000183105469,57.689998626708984,1022500.0,53.205684661865234
2015-10-14,58.150001525878906,56.970001220703125,57.66999816894531,57.13999938964844,1206800.0,52.69843673706055
2015-10-15,58.209999084472656,56.029998779296875,56.279998779296875,58.209999084472656,1159700.0,53.685264587402344
2015-10-16,58.630001068115234,57.93000030517578,58.25,58.380001068115234,951600.0,53.842044830322266
2015-10-19,58.970001220703125,58.29999923706055,58.36000061035156,58.95000076293945,1093300.0,54.36774444580078
2015-10-20,59.20000076293945,58.58000183105469,58.779998779296875,58.599998474121094,820000.0,54.044944763183594
2015-10-21,59.06999969482422,57.880001068115234,58.84000015258789,57.939998626708984,1188400.0,53.436248779296875
2015-10-22,58.709999084472656,58.08000183105469,58.08000183105469,58.459999084472656,1042200.0,53.915836334228516
2015-10-23,58.5099983215332,57.45000076293945,58.459999084472656,57.630001068115234,829500.0,53.15034866333008
2015-10-26,58.27000045776367,57.52000045776367,57.75,58.20000076293945,492300.0,53.6760368347168
2015-10-27,58.290000915527344,57.779998779296875,58.09000015258789,57.93000030517578,692500.0,53.42702865600586
2015-10-28,58.400001525878906,57.040000915527344,57.959999084472656,57.72999954223633,719100.0,53.242576599121094
2015-10-29,57.72999954223633,56.34000015258789,57.369998931884766,57.08000183105469,1025400.0,52.64310073852539
2015-10-30,57.88999938964844,57.0099983215332,57.189998626708984,57.36000061035156,737200.0,52.901336669921875
